x,direcao_descida,erro,f(min),x_anterior
[-0.4282574  -0.02438574],[-0.21680677 -0.0897539 ],0.00023465066857838204,-0.24941872355811723,[-0.4282574  -0.02438574]
[-0.42847405 -0.02447543],[-0.21664241 -0.08968629],0.00023447295363118227,-0.24947368030520697,[-0.42847405 -0.02447543]
[-0.42869052 -0.02456504],[-0.21647819 -0.08961873],0.00023429537327940525,-0.2495285538397753,[-0.42869052 -0.02456504]
[-0.42890684 -0.0246546 ],[-0.21631409 -0.08955121],0.00023411792742113806,-0.24958334428781867,[-0.42890684 -0.0246546 ]
[-0.42912299 -0.02474408],[-0.21615011 -0.08948374],0.00023394061595446595,-0.2496380517751428,[-0.42912299 -0.02474408]
[-0.42933897 -0.0248335 ],[-0.21598626 -0.08941632],0.0002337634387776221,-0.24969267642736298,[-0.42933897 -0.0248335 ]
[-0.4295548  -0.02492285],[-0.21582254 -0.08934895],0.00023358639578883528,-0.24974721836990416,[-0.4295548  -0.02492285]
[-0.42977046 -0.02501213],[-0.21565894 -0.08928163],0.0002334094868864361,-0.24980167772800135,[-0.42977046 -0.02501213]
[-0.42998595 -0.02510134],[-0.21549547 -0.08921435],0.00023323271196890597,-0.24985605462669994,[-0.42998595 -0.02510134]
[-0.43020128 -0.02519049],[-0.21533212 -0.08914712],0.0002330560709347256,-0.24991034919085608,[-0.43020128 -0.02519049]
